id,far_part,flt_plan_filed,acft_make,acft_model,total_seats,num_eng,fixed_retractable,cert_max_gr_wt,acft_category,homebuilt,type_last_insp,afm_hrs_last_insp,afm_hrs,elt_install,elt_type,oper_dba,certs_held,type_fly,second_pilot,dprt_apt_id,dprt_time,dest_apt_id,site_seeing,air_medical,flight_hours_mean,crew_category,crew_sex,pc_profession,crew_tox_perf,mr_faa_med_certf,available_restraint,eng_no,eng_type,eng_mfgr,eng_model,power_units,hp_or_lbs,carb_fuel_injection,propeller_type,subcategory_no
20150707X252241,091,NONE,SILVAIRE,LUSCOMBE 8A,2.0,1.0,FIXD,1200.0,AIR,N,ANNL,2.0,3705.0,Y,C91,,Y,PERS,N,74S ,2000.0,74S ,N,N,423.1000061035156,PLT,,No,N,,3,1,REC,Continental,8A65-9-F,65.0,HP,CARB,FIXP,6
20150714X523421,091,NONE,SILVAIRE,LUSCOMBE 8A,2.0,1.0,FIXD,1260.0,AIR,N,ANNL,,,Y,C91A,,Y,PERS,N,3F2 ,1534.0,AQO ,N,N,745.0,PLT,,UNK,N,,L,1,REC,Continental,A&C 65,65.0,HP,CARB,FIXP,6
20101202X507501,091,UNK,ANTARES,MA-33M R582,2.0,1.0,FIXD,990.0,WSFT,N,COND,16.0,120.0,N,,,Y,INST,Y,0GE3,2230.0,0GE3,N,N,241.5,FLTI,M,No,N,,,1,REC,ROTAX,582DCDI,65.0,HP,CARB,,6
20110504X113091,091,NONE,FRANKE HARRY C,AVID FLYER B,2.0,1.0,FIXD,764.0,AIR,Y,COND,,250.0,Y,UNK,,Y,PERS,N,2G9 ,1745.0,2G9 ,N,N,145.0,PLT,M,No,N,,,1,REC,Rotax,582,65.0,HP,CARB,,4
20171005X945491,091,NONE,BRYANT C CROSBY,BC ULTRA PUP,2.0,1.0,FIXD,1000.0,AIR,Y,COND,2.0,54.0,Y,C91A,,Y,PERS,N,BRY ,2215.0,BRY ,N,N,800.0,PLT,M,No,Y,,4,1,REC,Revmaster,2100-D,65.0,HP,CARB,,4
20140620X017091,091,NONE,COSMOS PHASE II,PHASE II 582,2.0,1.0,FIXD,,AIR,N,,,,,,,Y,PERS,N,,,,N,N,200.0,PLT,,No,N,,U,1,REC,ROTAX,582,65.0,HP,,,2
20120530X206431,091,NONE,BRUMBAUGH B/KASOWSKI L,AVID FLYER IV,2.0,1.0,FIXD,1050.0,AIR,Y,ANNL,,381.0,Y,UNK,,Y,PERS,N,H71 ,1445.0,H71 ,N,N,820.0,PLT,M,No,N,,,1,REC,Rotax,582,65.0,HP,CARB,,6
20140324X734121,091,NONE,DONALD G STOKES,CHALLENGER II,2.0,1.0,FIXD,1060.0,AIR,Y,COND,1.0,11.0,N,,,Y,PERS,N,NONE,1800.0,NONE,N,N,2198.0,PLT,,No,N,,3,1,REC,Rotex,582 DCDI,65.0,HP,CARB,FIXP,6
20080908X014091,091,NONE,Quad City Ultralight Aircraft,Challenger II,2.0,1.0,FIXD,980.0,AIR,N,COND,6.0,131.0,Y,,,Y,PERS,N,N14 ,2215.0,N14 ,N,N,4010.0,PLT,M,No,N,,,1,REC,Rotax,582 DCDI,65.0,HP,CARB,,6
20160425X550111,091,NONE,BUCKEYE INDUSTRIES,DREAM MACHINE,2.0,1.0,FIXD,950.0,ULTR,N,100H,,,,,,Y,PERS,N,,2230.0,,N,N,0.1000000014901161,PLT,M,No,N,,3,1,REC,ROTAX,582 E Drive,65.0,HP,CARB,FIXP,6
20081007X125441,091,NONE,Buckeye,Dream Machine,2.0,1.0,FIXD,,PPAR,N,ANNL,,86.69999694824219,N,UNK,,Y,PERS,N,,,,N,N,26.0,DSTU,M,No,N,,,1,REC,Rotax,582,65.0,HP,CARB,,4
20130302X742491,091,NONE,Buckeye,Dream Machine,2.0,1.0,FIXD,1000.0,PPAR,N,COND,272.0,272.0,N,,,Y,PERS,N,TCY ,1700.0,TCY ,N,N,190.0,PLT,M,No,N,,,1,REC,Rotax,582UL,65.0,HP,CARB,,2
20130209X212241,091,NONE,DRATBE SHMIEL AMIR,CLASSIC EDGE X,2.0,1.0,FIXD,,WSFT,N,UNK,,507.0,N,,,Y,PERS,N,X51 ,1300.0,,N,N,50.0,PLT,M,No,N,,,1,REC,ROTAX,582,65.0,HP,CARB,,4
20160509X147471,091,NONE,AIRBORNE WINDSPORTS PTY LTD,EDGE X CLASSIC,2.0,1.0,FIXD,900.0,WSFT,N,COND,,327.0,N,,,Y,PERS,N,KROS,1525.0,KROS,N,N,22.0,PLT,M,No,Y,,4,1,REC,Rotax,582UL DCDI,65.0,HP,CARB,FIXP,6
20170817X005191,091,NONE,AEROTECHNIK,L 13 SEH VIVAT,2.0,1.0,RETR,1588.0,AIR,N,ANNL,,401.5,Y,C91,,Y,PERS,N,WA40,2300.0,EAT ,N,N,2867.0,PLT,,,N,,4,1,REC,AEROTECNIK,MIKRON III,65.0,HP,CARB,CONP,6
20100818X355041,091,NONE,MAXAIR,MU 582 DRIFTER,2.0,1.0,FIXD,1150.0,AIR,N,UNK,,,,UNK,,Y,PERS,N,NONE,1510.0,NONE,N,N,3000.0,PLT,M,No,Y,,,1,REC,ROTAX,582,65.0,HP,CARB,,6
20120319X438481,091,NONE,BOEHLKE KEVIN P,2/3 SCALE JENNY,2.0,1.0,FIXD,1320.0,AIR,Y,COND,2.0,2.0,Y,UNK,,Y,PERS,N,33NY,2115.0,33NY,N,N,72.0,PLT,M,No,N,,,1,REC,CONT MOTOR,A-65-1,65.0,HP,CARB,,4
20080805X011621,091,NONE,Avid Aircraft,Mark IV Aerobat,2.0,1.0,FIXD,1050.0,AIR,Y,COND,,507.0,Y,UNK,,Y,PERS,N,FL17,1530.0,FL17,N,N,8528.0,PLT,M,Yes,N,,,1,REC,Rotax,582 UL,65.0,HP,CARB,,6
20150327X038061,091,NONE,TRICK TRIKES,582 CYCLONE STORM,2.0,,FIXD,,WSFT,N,COND,,180.0,N,,,Y,INST,Y,,2245.0,,N,N,1275.0,PLT,M,No,N,,L,1,REC,Rotax,582,65.0,HP,CARB,GRND,4
20121003X521191,091,NONE,BUCKEYE,582 DREAM MACHINE,2.0,1.0,FIXD,,PPAR,N,UNK,,214.0,N,,,Y,PERS,N,,1900.0,,N,N,0.0,PLT,M,No,N,,,1,REC,ROTAX,582,65.0,HP,CARB,,3
